user_tag	1	2	3	4	5	6	7	8	9	10	11	12
D0677	68.0	30.0	73.0	54.0	54.0	25.0	16.0	19.0	30.0	11.0	25.0	66.0
D0122	49.0	98.0	106.0	60.0	41.0	43.0	40.0	24.0	54.0	54.0	42.0	76.0
D0690	54.0	40.0	31.0	64.0	45.0	45.0	24.0	55.0	36.0	29.0	22.0	41.0
D0694	14.0	11.0	8.0	21.0	6.0	11.0	10.0	19.0	20.0	9.0	19.0	16.0
D0696	29.0	19.0	18.0	54.0	35.0	47.0	48.0	30.0	30.0	42.0	45.0	41.0
D0135	62.0	52.0	31.0	65.0	33.0	48.0	21.0	35.0	13.0	33.0	25.0	8.0
D0702	27.0	50.0	36.0	42.0	33.0	43.0	46.0	21.0	22.0	50.0	44.0	38.0
D0719					70.0	25.0	51.0	60.0	13.0			
D0725	37.0	40.0	35.0	19.0	30.0	39.0	45.0	17.0	6.0	25.0	40.0	27.0
D0150	111.0	121.0	139.0	150.0	126.0			11.0	46.0	92.0	104.0	97.0
D0734	11.0	9.0	8.0	23.0	55.0	22.0	21.0	10.0	3.0	17.0	9.0	5.0
D0737	57.0	5.0	10.0	30.0	23.0	19.0	27.0	23.0	3.0	1.0	23.0	21.0
D0738	97.0	28.0	29.0	37.0	27.0	18.0	38.0	44.0	68.0	47.0	9.0	12.0
D0754	39.0	41.0	20.0	16.0	19.0	80.0	78.0	89.0	65.0	43.0	55.0	43.0
D0757	13.0	17.0	110.0	81.0	58.0	22.0	40.0	69.0	19.0	39.0	75.0	88.0
D0775	10.0	6.0	6.0	14.0	20.0	30.0	25.0	20.0	9.0	9.0	9.0	8.0
D0778	33.0	24.0	9.0	21.0	22.0	38.0	16.0	12.0	16.0	27.0	10.0	26.0
D0178	40.0	51.0	67.0	38.0	144.0	90.0	61.0	68.0	37.0	76.0	34.0	35.0
D0796	89.0	9.0	11.0	5.0	19.0	66.0	99.0	81.0	63.0	27.0	72.0	37.0
D0801	36.0	35.0	46.0	54.0	34.0	35.0	38.0	34.0	16.0	26.0	38.0	31.0
D0804	62.0	40.0	63.0	109.0	90.0	94.0	73.0	61.0	86.0	63.0	34.0	40.0
D0805	41.0	41.0	31.0	36.0	27.0	42.0	71.0	51.0	27.0	51.0	24.0	34.0
D0191	45.0	59.0	104.0	103.0	104.0	83.0	97.0	54.0	27.0	26.0	27.0	19.0
D0806	70.0	9.0	24.0	32.0	74.0	26.0	39.0	44.0	58.0	73.0	95.0	51.0
D0810			71.0	69.0	104.0	55.0	38.0	75.0	26.0			
D0193	12.0	4.0	2.0	43.0	56.0	49.0	16.0	15.0	7.0	9.0	6.0	3.0
D0816	59.0	55.0	77.0	53.0	75.0	77.0	65.0	64.0	64.0	45.0	55.0	78.0
D0823	36.0	41.0	41.0	13.0	48.0	35.0	24.0	28.0	12.0	10.0	19.0	22.0
D0825	52.0	44.0	39.0	46.0	45.0	40.0	38.0	60.0	42.0	31.0	30.0	49.0
D0195					277.0	324.0	347.0	232.0	63.0			
D0826	3.0	3.0	13.0	7.0	7.0	13.0	28.0	18.0	26.0	11.0	12.0	21.0
D0827	34.0	21.0	32.0	42.0	35.0	43.0	40.0	42.0	52.0	46.0	37.0	47.0
D0830	38.0	29.0	36.0	30.0	39.0	65.0	58.0	53.0	35.0	54.0	52.0	25.0
D0199	48.0	79.0	43.0	51.0	67.0	2.0	2.0	10.0	12.0	7.0	22.0	17.0
D0839					34.0	97.0	83.0	55.0	26.0			
D0841	25.0	17.0	14.0	14.0	19.0	24.0	20.0	34.0	30.0	18.0	8.0	12.0
D0202	65.0	63.0	86.0	53.0	78.0	54.0	57.0	48.0	45.0	57.0	46.0	57.0
D0854	38.0	50.0	62.0	63.0	81.0	72.0	64.0	34.0	38.0	39.0	43.0	42.0
D0860	102.0	55.0	75.0	71.0	56.0	48.0	42.0	31.0	7.0			73.0
D0215	86.0	87.0	53.0	40.0	34.0	31.0	35.0	43.0	40.0	87.0	50.0	34.0
D0868							76.0	145.0	33.0			
D0218	7.0	95.0	118.0	79.0	48.0		35.0	365.0	106.0			
D0877	10.0	14.0	50.0	26.0	30.0	20.0	42.0	17.0	15.0	25.0	17.0	14.0
D0878	2.0	6.0	1.0	2.0	3.0	2.0	5.0	4.0	1.0	1.0	0.0	1.0
D0228	127.0	103.0	143.0	50.0	37.0	9.0	21.0	51.0	35.0	76.0	103.0	167.0
D0890	94.0	62.0	72.0	48.0	65.0	61.0	40.0	73.0	69.0	61.0	43.0	63.0
D0233	33.0	18.0	23.0	33.0	30.0	10.0	42.0	87.0	49.0	24.0	34.0	61.0
D0894	15.0	7.0	28.0	48.0	81.0	66.0	26.0	83.0	78.0	24.0	53.0	38.0
D0902	19.0	14.0	9.0	16.0	8.0	7.0	9.0	14.0	21.0	18.0	14.0	18.0
D0903	9.0	13.0	6.0	3.0	4.0	5.0	1.0	12.0	21.0	24.0	10.0	10.0
D0238	151.0	150.0	125.0	67.0	42.0	31.0	43.0	67.0	31.0			
D0907	26.0	29.0	45.0	27.0	25.0	24.0	23.0	21.0	27.0	35.0	15.0	22.0
D0240		7.0	55.0	73.0	118.0	148.0	82.0	145.0	50.0			
D0911	18.0	10.0	31.0	14.0	19.0	26.0	18.0	13.0	20.0	24.0	24.0	24.0
D0914	44.0	61.0	67.0	77.0	47.0	28.0	27.0	34.0	50.0	35.0	25.0	35.0
D0915	10.0	10.0	8.0	9.0	7.0	13.0	25.0	6.0	9.0	23.0	29.0	14.0
D0921	6.0	14.0	18.0	27.0	32.0	17.0	7.0	18.0	11.0	9.0	21.0	15.0
D0248		265.0	398.0	132.0	73.0							
D0249	78.0	57.0	50.0	75.0	64.0				14.0	76.0	76.0	98.0
D0251	7.0	39.0	21.0	10.0	13.0	12.0	14.0	15.0	77.0	40.0	35.0	6.0
D0253	27.0	36.0	25.0	44.0	63.0	37.0	28.0	76.0	30.0	25.0	49.0	34.0
D0255	73.0	375.0	284.0	179.0	16.0							
D0933	25.0	12.0	26.0	22.0	16.0	33.0	83.0	87.0	31.0	44.0	54.0	37.0
D0259	28.0	19.0	33.0	25.0	30.0							21.0
D0939	2.0	9.0	26.0	14.0	18.0	6.0	6.0	25.0	10.0	7.0	8.0	11.0
D0264	89.0	40.0	62.0	31.0	66.0	41.0	70.0	22.0	27.0	28.0	53.0	62.0
D0949	7.0	10.0	27.0	16.0	32.0	34.0	8.0	9.0	19.0	11.0	14.0	16.0
D0961	66.0	53.0	61.0	42.0	42.0	32.0	20.0	55.0	15.0			26.0
