user_id	I am a	he is a	she is a	they are a	it is a	that is a	sucks at	suck at	I never	he never	she never	you never	we never	they never	I am an	he is an	she is an	they are an	it is an	that is an	a burden	a complete	a completely	a huge	a loser	a major	a total	a totally	a weak	an absolute	an utter	a bad	a broken	a damaged	a helpless	a hopeless	an incompetent	a toxic	an ugly	an undesirable	an unlovable	a worthless	a horrible	a terrible	will fail	will go wrong	will end	will be impossible	will not happen	will be terrible	will be horrible	will be a catastrophe	will be a disaster	will never end	will not end	only	every	everyone	everybody	everything	everywhere	always	perfect	the best	all	not a single	no one	nobody	nothing	nowhere	never	worthless	the worst	neither	nor	either or	black or white	ever	but I feel	since I feel	because I feel	but it feels	since it feels	because it feels	still feels	great but	good but	OK but	not that great	not that good	it was not	not all that	fine but	acceptable but	great yet	good yet	OK yet	fine yet	acceptable yet	worst	best	not important	not count	not matter	no matter	the only thing	the one thing	I see only	all I see	all I can see	can only think	nothing good	nothing right	completely bad	completely wrong	only the bad	only the worst	if I just	if I only	if it just	if it only	everyone believes	everyone knows	everyone thinks	everyone will believe	everyone will know	everyone will think	nobody believes	nobody knows	nobody thinks	nobody will believe	nobody will know	nobody will think	he believes	he knows	he thinks	he does not believe	he does not know	he does not think	he will believe	he will know	he will think	he will not believe	he will not know	he will not think	she believes	she knows	she thinks	she does not believe	she does not know	she does not think	she will believe	she will know	she will think	she will not believe	she will not know	she will not think	they believe	they know	they think	they do not believe	they do not know	they do not think	they will believe	they will know	they will think	they will not believe	they will not know	they will not think	we believe	we know	we think	we do not believe	we do not know	we do not think	we will believe	we will know	we will think	we will not believe	we will not know	we will not think	you believe	you know	you think	you do not believe	you do not know	you do not think	you will believe	you will know	you will think	you will not believe	you will not know	you will not think	I will not	we will not 	you will not	they will not	it will not	that will not	he will not	she will not	all of the time	all of them	all the time	always happens	always like	happens every time	completely	no one ever	nobody ever	every single one of them	every single one of you	I always	you always	he always	she always	they always	I am always	you are always	he is always	she is always	they are always	all me	all my	because I	because my	because of my	because of me	I am responsible	blame me	I caused	I feel responsible	all my doing	all my fault	my bad	my responsibility	should	ought	must	have to	has to
D0311	3	6	2	3	6	2	0	0	3	0	2	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	19	5	0	9	2	27	5	9	58	0	1	1	8	1	17	0	2	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	22	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	1	1	20	0	2	16	0
D0266	3	0	0	0	5	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	20	13	3	5	1	11	0	4	51	0	5	1	5	0	19	0	2	1	0	0	0	18	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	14	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	1	7	0	0	0	0	1	0	0	0	0	0	0	9	0	4	11	1
D0031	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	1	2	0	2	7	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1	0
D0307	3	1	2	0	8	4	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	31	13	12	1	9	1	11	3	2	81	0	3	0	5	2	11	0	3	0	0	0	0	10	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	2	2	0	0	0	4	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	2	10	2	0	0	0	0	0	0	0	0	0	0	22	0	2	16	5
D0140	7	0	0	0	6	1	0	1	18	2	0	1	0	0	1	0	0	0	1	0	1	3	0	9	0	3	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	44	18	41	0	33	4	47	2	32	270	0	4	0	23	0	47	0	9	0	0	0	0	31	12	0	20	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	10	52	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	1	1	0	13	3	20	0	0	0	23	0	0	0	0	12	1	1	1	0	6	0	0	1	0	0	32	127	5	1	0	0	0	0	0	0	0	0	0	23	0	2	50	2
D0046	5	0	1	0	3	2	0	0	3	1	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	25	34	15	1	17	5	39	29	12	86	2	3	13	15	0	50	0	7	0	0	0	0	61	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	9	25	0	0	1	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	2	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	4	0	0	0	2	0	1	0	0	2	4	0	0	0	3	0	0	1	0	0	4	3	1	0	0	0	0	0	0	0	0	0	0	4	0	1	14	1
D0228	18	3	5	2	19	4	0	2	12	0	1	3	2	4	3	1	1	1	0	1	0	1	2	2	0	0	5	1	0	1	0	4	0	1	0	0	1	1	0	0	0	0	1	2	0	0	5	0	0	0	0	0	0	0	0	98	80	43	0	37	1	49	21	10	241	0	30	1	32	1	81	0	12	4	0	0	0	47	4	0	1	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	14	23	0	1	2	10	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	0	0	4	0	0	4	4	0	0	0	0	0	2	0	0	0	17	0	0	0	0	9	0	0	2	2	3	1	1	1	1	0	19	55	17	0	0	0	0	0	0	0	0	1	2	56	0	6	121	8
D0041	10	3	1	1	10	1	0	0	4	0	0	2	1	0	0	1	0	0	3	0	0	1	0	4	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	31	26	21	1	17	2	23	7	19	121	0	0	16	21	4	49	0	7	3	0	0	0	36	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	8	32	1	1	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3	7	4	0	9	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	1	0	9	0	0	0	5	0	0	0	0	4	0	0	0	0	2	0	0	0	0	1	6	22	3	1	0	0	0	0	0	0	0	0	0	24	0	2	25	6
D0354	3	1	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	21	7	6	0	4	1	3	1	6	24	0	1	0	2	0	6	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	8	0	2	0	0	0	0	0	0	0	0	0	14	0	1	4	0
D0326	10	3	1	0	7	3	0	0	6	3	0	4	3	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	33	27	20	1	13	2	17	3	20	101	0	4	2	11	0	32	0	4	1	0	0	0	45	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	28	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	5	9	8	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	4	0	0	0	2	0	0	0	0	2	1	1	0	1	0	2	0	0	0	0	7	28	3	1	0	0	0	0	0	0	0	0	0	13	0	1	13	3
