user_tag	1	2	3	4	5	6	7	8	9	10	11	12
D0676	319.0	187.0	197.0	174.0	219.0	217.0	254.0	319.0	344.0	258.0	151.0	223.0
D0677	325.0	151.0	324.0	262.0	204.0	171.0	153.0	157.0	169.0	82.0	141.0	262.0
D0122	214.0	368.0	478.0	235.0	149.0	183.0	199.0	128.0	191.0	280.0	168.0	266.0
D0690	305.0	239.0	181.0	251.0	358.0	294.0	192.0	374.0	160.0	160.0	138.0	214.0
D0694	110.0	88.0	96.0	74.0	35.0	87.0	74.0	113.0	93.0	75.0	129.0	168.0
D0696	163.0	125.0	119.0	243.0	202.0	223.0	267.0	192.0	169.0	206.0	272.0	207.0
D0135	381.0	247.0	252.0	419.0	209.0	295.0	173.0	202.0	71.0	170.0	145.0	44.0
D0702	166.0	219.0	221.0	211.0	129.0	194.0	181.0	103.0	105.0	257.0	188.0	181.0
D0719					389.0	210.0	214.0	343.0	93.0			
D0725	194.0	192.0	148.0	94.0	115.0	150.0	178.0	85.0	27.0	121.0	175.0	122.0
D0150	160.0	166.0	178.0	203.0	163.0			17.0	74.0	137.0	153.0	136.0
D0734	96.0	114.0	50.0	163.0	472.0	163.0	117.0	71.0	29.0	112.0	75.0	60.0
D0737	210.0	46.0	44.0	113.0	82.0	83.0	110.0	72.0	28.0	7.0	72.0	76.0
D0738	443.0	164.0	179.0	147.0	109.0	83.0	158.0	257.0	317.0	191.0	66.0	53.0
D0754	242.0	173.0	95.0	77.0	69.0	399.0	468.0	421.0	361.0	230.0	220.0	202.0
D0757	58.0	76.0	290.0	279.0	183.0	106.0	181.0	235.0	73.0	165.0	273.0	369.0
D0775	47.0	33.0	58.0	84.0	85.0	136.0	143.0	101.0	72.0	108.0	110.0	82.0
D0778	202.0	149.0	94.0	131.0	163.0	202.0	98.0	107.0	73.0	162.0	91.0	123.0
D0178	156.0	158.0	263.0	148.0	602.0	399.0	286.0	307.0	152.0	261.0	138.0	90.0
D0796	369.0	85.0	33.0	14.0	116.0	282.0	343.0	348.0	213.0	156.0	209.0	92.0
D0801	271.0	258.0	290.0	306.0	255.0	268.0	256.0	238.0	200.0	222.0	224.0	266.0
D0804	195.0	139.0	179.0	355.0	302.0	407.0	245.0	249.0	313.0	237.0	148.0	111.0
D0805	184.0	227.0	194.0	234.0	172.0	226.0	356.0	268.0	210.0	243.0	165.0	154.0
D0191	169.0	266.0	372.0	380.0	346.0	313.0	295.0	208.0	107.0	81.0	88.0	113.0
D0806	157.0	38.0	82.0	97.0	204.0	94.0	111.0	130.0	192.0	233.0	240.0	128.0
D0810			247.0	249.0	268.0	180.0	117.0	221.0	87.0			
D0193	116.0	51.0	13.0	319.0	378.0	311.0	138.0	129.0	57.0	99.0	35.0	12.0
D0816	232.0	236.0	268.0	220.0	266.0	273.0	235.0	201.0	208.0	204.0	235.0	275.0
D0823	179.0	182.0	223.0	94.0	324.0	207.0	142.0	170.0	75.0	29.0	72.0	106.0
D0825	172.0	174.0	149.0	131.0	168.0	157.0	156.0	223.0	143.0	106.0	127.0	156.0
D0195					578.0	726.0	758.0	510.0	160.0			
D0826	29.0	21.0	57.0	34.0	51.0	88.0	149.0	111.0	153.0	69.0	57.0	137.0
D0827	194.0	127.0	163.0	144.0	179.0	189.0	182.0	222.0	226.0	212.0	196.0	249.0
D0830	121.0	143.0	133.0	152.0	178.0	231.0	172.0	198.0	146.0	274.0	189.0	92.0
D0199	202.0	380.0	197.0	253.0	220.0	3.0	6.0	44.0	46.0	34.0	78.0	60.0
D0839					162.0	442.0	345.0	340.0	147.0			
D0841	140.0	80.0	105.0	115.0	137.0	216.0	141.0	237.0	221.0	117.0	70.0	75.0
D0202	210.0	221.0	333.0	257.0	314.0	198.0	215.0	168.0	174.0	215.0	208.0	208.0
D0854	199.0	238.0	280.0	288.0	335.0	316.0	318.0	199.0	188.0	230.0	183.0	224.0
D0860	387.0	228.0	256.0	262.0	215.0	219.0	185.0	154.0	41.0			269.0
D0215	259.0	336.0	179.0	125.0	132.0	122.0	131.0	173.0	196.0	382.0	194.0	137.0
D0868							872.0	1164.0	281.0			
D0218	50.0	696.0	919.0	475.0	379.0		164.0	1935.0	577.0			
D0877	48.0	72.0	258.0	180.0	168.0	126.0	188.0	75.0	129.0	154.0	79.0	55.0
D0878	17.0	41.0	24.0	15.0	15.0	19.0	31.0	17.0	5.0	20.0	7.0	7.0
D0228	283.0	189.0	274.0	115.0	92.0	21.0	62.0	118.0	98.0	185.0	243.0	376.0
D0890	312.0	221.0	240.0	214.0	235.0	218.0	177.0	248.0	252.0	242.0	191.0	238.0
D0233	221.0	120.0	111.0	161.0	151.0	70.0	228.0	460.0	313.0	223.0	192.0	316.0
D0894	79.0	36.0	120.0	208.0	343.0	361.0	144.0	356.0	333.0	163.0	212.0	163.0
D0902	105.0	62.0	68.0	68.0	73.0	72.0	65.0	61.0	88.0	91.0	103.0	88.0
D0903	35.0	42.0	24.0	11.0	19.0	28.0	5.0	57.0	149.0	103.0	53.0	44.0
D0238	387.0	471.0	339.0	176.0	115.0	111.0	141.0	207.0	109.0			
D0907	168.0	133.0	203.0	166.0	140.0	95.0	150.0	109.0	142.0	200.0	128.0	114.0
D0240		35.0	222.0	305.0	473.0	520.0	298.0	588.0	168.0			
D0911	107.0	60.0	160.0	105.0	91.0	144.0	119.0	127.0	97.0	149.0	125.0	140.0
D0914	173.0	225.0	227.0	286.0	178.0	102.0	134.0	160.0	159.0	129.0	97.0	140.0
D0915	95.0	46.0	56.0	56.0	48.0	72.0	116.0	99.0	59.0	127.0	147.0	109.0
