	gender	gender	age	age	age	age	org	org
	male	female	<=18	19-29	30-39	>=40	non-org	is-org
user_id								
D0755	1.0	0.0	0.49700000000000005	0.4273	0.071	0.0047	0.9823	0.0177
D1063	0.0006	0.9994	0.0058	0.7242	0.2393	0.0307	1.0	0.0
D0914	0.9990000000000001	0.001	0.0002	0.0107	0.9859	0.0031	1.0	0.0
D0565	0.0196	0.9804	0.0924	0.7268	0.1347	0.0461	0.9986	0.0014
D1049	0.9733	0.0267	0.9963	0.0035	0.0	0.0002	0.9991	0.0009
D0653	0.2869	0.7131	0.3695	0.6087	0.019	0.0028	0.9988	0.0012
D0917	0.003	0.997	0.0	0.0002	0.9995	0.0003	1.0	0.0
D0139	0.0012	0.9988	0.0638	0.391	0.4845	0.0607	0.9996	0.0004
D0521	0.0001	0.9999	0.0168	0.0955	0.268	0.6197	0.9938	0.0062
D0560	0.9999	0.0001	0.0064	0.2116	0.3267	0.4552	0.9952	0.0048
D0965	0.9993	0.0007	0.0005	0.0027	0.0142	0.9827	1.0	0.0
D0803	0.9983	0.0017	0.6099	0.3802	0.0057	0.0042	1.0	0.0
D0902	0.0129	0.9871	0.5955	0.4031	0.0005	0.0008	1.0	0.0
D0495	0.0208	0.9792	0.5927	0.3953	0.004	0.008	1.0	0.0
D0601	0.0083	0.9917	0.0882	0.8852	0.0239	0.0027	1.0	0.0
D1122	0.0411	0.9589	0.3672	0.616	0.0094	0.0074	0.9999	0.0001
D1148	0.0062	0.9938	0.0014	0.018000000000000002	0.9802	0.0004	1.0	0.0
D0640	0.0044	0.9956	0.0359	0.3232	0.5872	0.0537	0.9999	0.0001
D1104	0.1743	0.8257	0.3749	0.5663	0.0305	0.0283	0.9996	0.0004
D0974	0.8798	0.1202	0.7655	0.1737	0.0475	0.0133	0.9996	0.0004
D0872	0.0047	0.9953	0.0016	0.0118	0.9491	0.0375	0.9996	0.0004
D0790	0.9864	0.0136	0.0519	0.2175	0.6874	0.0433	0.9998	0.0002
D0637	0.941	0.059000000000000004	0.0079	0.0181	0.0032	0.9709	0.9994	0.0006
D0715	0.0062	0.9938	0.1522	0.5628	0.1932	0.0918	1.0	0.0
D0734	0.0088	0.9912	0.0451	0.9505	0.0029	0.0016	1.0	0.0
D0864	0.935	0.065	0.5269	0.2722	0.0798	0.1211	0.9991	0.0009
D0651	0.2237	0.7763	0.4328	0.5369	0.0229	0.0074	0.9997	0.0003
