num_runs	$D$	$R$
279	1481124	6847148
280	1505002	6734021
281	1478928	6822588
282	1521457	6707830
283	1517203	6676038
284	1607599	6819947
285	1494633	6934294
286	1474464	6809222
287	1538620	6847030
288	1544863	6825357
289	1494828	6725431
290	1476538	6757069
291	1468762	6844758
292	1511675	6816016
293	1530160	6764915
294	1555077	6722547
295	1505382	6719376
296	1476333	6707627
297	1518999	6727911
298	1521910	6743441
299	1544347	6757424
300	1544234	6830057
301	1503414	6886581
302	1559759	6839322
303	1482633	6867294
304	1518939	6809795
305	1480516	6919463
306	1538549	6774682
307	1503647	6681477
308	1466458	6823261
309	1529994	6563808
310	1504387	6750976
311	1540147	6732633
312	1555038	6791785
313	1547984	6733508
314	1488548	6610240
315	1501371	6836694
316	1486508	6764519
317	1503150	6696007
318	1532042	6853769
319	1490776	6862942
320	1530033	6809513
321	1515405	6796842
322	1484209	6799536
323	1488335	6925219
324	1502590	6831778
325	1485578	6764972
326	1461663	6853274
327	1438332	6785607
328	1483217	6968774
329	1556992	6799617
330	1452068	6805652
331	1512771	6964644
332	1562098	6806466
333	1506931	6737404
334	1521502	6845186
335	1532744	6861811
336	1474318	6876658
337	1575278	6759704
338	1533266	6741929
339	1521116	6690681
340	1536012	6852905
341	1494308	6747399
342	1535144	6621063
343	1580519	6790682
344	1524712	6790076
345	1499849	6662235
346	1512616	6900688
347	1522224	6804488
348	1514439	6656207
349	1504753	6834249
350	1473198	6771645
351	1543196	6816212
352	1547612	6873625
353	1522903	6633696
354	1482966	6811077
355	1498499	6892258
356	1500249	6845340
357	1489434	6691375
358	1471622	6859129
359	1508270	6847494
360	1495888	6667826
361	1512414	6769258
362	1565346	6803381
363	1489335	6717728
364	1514326	6783987
365	1488203	6698096
366	1490991	6912271
367	1503414	6814493
368	1530195	6714720
369	1505656	6742292
370	1533874	6603295
371	1517929	6835270
372	1482165	6789788
373	1529878	6728984
374	1492512	6830083
375	1512385	6810495
376	1523233	6643609
377	1525291	6819195
378	1504507	6631185
379	1487634	6744588
380	1481303	6747331
381	1559398	6684203
382	1530696	6716361
383	1497456	6771700
384	1526905	6971377
385	1465985	6955869
386	1512490	6820388
387	1518814	6724185
388	1542569	6984644
389	1563721	6759212
390	1520332	6830614
391	1498904	6811669
392	1466407	6769067
393	1538507	6670717
394	1533081	6755498
395	1517595	6843381
396	1499529	6682311
397	1482347	6767815
398	1499569	6718848
399	1504025	6854896
400	1486639	6779060
401	1440647	6736408
402	1476980	6753377
403	1463793	6699510
404	1502168	6681512
405	1519666	6746125
406	1480937	6813524
407	1501123	6729187
408	1480595	6727834
409	1469897	6792367
410	1487354	6954238
411	1531213	6796879
412	1469521	6873739
413	1506875	6772034
414	1526462	6833367
415	1552743	6707585
416	1575793	6769370
417	1533006	6643106
418	1461535	6819097
419	1452567	6910258
420	1478190	6773886
421	1524295	6823813
422	1495899	6857944
423	1511764	6826512
424	1468109	6874443
425	1492148	6784821
