num_runs	Labeling and mislabeling	Catastrophizing	Dichotomous Reasoning	Emotional Reasoning	Disqualifying the Positive	Magnification and Minimization	Mental Filtering	Mindreading	Fortune-telling	Overgeneralizing	Should statements
1	1.1043727673376251	0.9777135116553813	1.1406232569648767	1.6770246447677777	1.2656893372772702	1.1078188425927213	1.2294086881223425	1.0185582238599307	0.9036201744300935	1.3316447969952312	1.055431229999223
2	1.0305179395001056	0.9487768267373459	1.1327721824603219	1.7899183705553268	1.2422629718050355	1.0725665307764707	1.0282037289914596	1.0653426384362972	0.9983451574263968	1.3419984893779036	1.0394946627383856
3	1.0906950158846955	0.8789873826721663	1.1094912378932908	1.6522396407717974	1.2534507688643384	1.0266635824561674	1.1342499146126217	1.081691748974809	0.9677206360778164	1.3217593281308113	1.0400695381346647
4	1.0729231394981467	0.9845308513889524	1.138698973104261	1.6329717220360387	1.2922770211616275	1.0965460994852079	1.2770266897187181	1.0408375599985744	0.8256728514378388	1.3519160651329487	1.069102334620483
5	1.094648644438337	0.8764226060042366	1.1208805855431687	1.812122951120017	1.231587462673907	1.104164158471391	1.2091742657563946	1.0466263101901856	0.8008167630156741	1.330467885379939	1.0650731440533092
6	1.0610107464174283	0.7779419569625589	1.106781865357222	1.851736188640881	1.1698594043287605	1.0867162089666682	1.060506553294	1.0482314456172162	0.9534523515275678	1.3281183073861462	1.0267753511307784
7	1.12281242929761	0.9659355627263946	1.1626349690980207	2.1135998719290883	1.2859143253131222	1.0956909574663456	1.3571969111911208	1.058568829426593	1.0347395385666234	1.3274392681785059	1.0603246602778116
8	1.0835087291996417	1.0791305909255602	1.1262016474847327	1.8382979506474129	1.1539920872177731	1.090619112060154	1.3530890631670847	1.0079941647170134	0.7646053193587631	1.3139801324169895	1.0382574045363173
9	1.1046372391049406	1.0502633386953872	1.1400483810715303	1.7345290671570914	1.2279902626943464	1.0779305059341964	1.437177803851816	1.091674339758151	1.0363238669380535	1.3223032461392565	1.066814102449307
10	1.0809140565266593	0.8743106301853039	1.1313856984068251	1.921465323121936	1.2645597536585067	1.101671485566152	1.3088530629348731	1.051345510876971	0.9966338845817944	1.3452001576713175	1.0184487886604559
11	1.1154833557143062	1.0154089919348877	1.14295635999733	2.012118579594431	1.2232562177652422	1.0920623639274696	1.0290485548826784	1.1011265457569344	0.8890507700637956	1.3306967183368572	1.103458224605743
12	1.0904105831712694	0.9910266780141725	1.1230876015332076	1.9234433212836024	1.203118699505884	1.0420734248581498	1.2446461655123242	1.0602447965325243	0.9010898493816417	1.2980378452506482	1.0603683160790192
