num_runs	Labeling and mislabeling	Catastrophizing	Dichotomous Reasoning	Emotional Reasoning	Disqualifying the Positive	Magnification and Minimization	Mental Filtering	Mindreading	Fortune-telling	Overgeneralizing	Personalizing	Should statements
1	1.157493215756502	0.9257351035795057	1.1149988678875198	1.795389356867456	1.1783537740096348	1.120933022238926	0.9627282381478183	0.980915588757928	1.1591458302694166	1.3422256565091149	2.0264025231528464	1.031014616178528
2	1.0928294557998646	0.9029233223089634	1.0913630171593347	1.775610231447718	1.152275441292701	1.0644363759180793	1.1569757490292707	0.9851482096513573	1.1525936303891544	1.3175291036223262	1.9410178489789551	1.0233357782402457
3	1.1290136590112645	0.8444184613685013	1.0785014268339714	1.7695496432223297	1.1715671824978244	1.0733735160639608	1.0899645353164593	1.0105792930967576	1.1621968562882248	1.339082048367267	1.8543371524096806	1.0316381316663008
4	1.1500347313949477	0.9130977036446899	1.1254482785759614	1.687861865637285	1.2035032423764631	1.13162459483483	1.0942661344455271	1.020863289060226	1.1766010339157023	1.3490814050956152	1.8882786411841683	1.073598250443239
5	1.1421576146980992	0.8316288967520115	1.1039647368711705	1.696100466167076	1.1517523240400098	1.1086073934660352	1.1412607082132866	1.0306404918382364	1.090467909386274	1.3290025560596888	1.963212103468389	1.060836951692414
6	1.110523597577284	0.7262921850933398	1.0825465814603508	2.0183444405089253	1.0954281547708282	1.1010490246591087	1.129392229039723	1.0058059150647096	1.1267832834976943	1.3272835820937667	1.9354941253772333	1.0196423033898592
7	1.1366147458668383	0.889081471931996	1.1214712965039209	1.8635132951957054	1.1854635697015186	1.1001791441519777	1.3152322350538779	0.9887418600973181	1.1590108819561342	1.3032365291267516	1.9704973300714184	1.0531674331079992
8	1.145383926675343	1.0448101177782612	1.1098590039789387	1.806047883386971	1.090820322987633	1.110511171292015	1.2213332748200358	1.0099663980893585	1.1260738084981954	1.344716869720057	1.9232015666199744	1.0251400626091614
9	1.1507843430997693	1.0314465024457828	1.1266398896457088	1.7875661185189018	1.1453605980491874	1.116585323651736	1.288583118800589	1.0539174994060059	1.1704025209019218	1.3303493188848834	1.8477021384518535	1.057919180271323
10	1.1407966412535329	0.769915309206381	1.1010154302157389	1.8781112942246967	1.1860825505993529	1.1477891863856005	1.1418604216600434	0.993751648143575	1.116918673270906	1.3248018899198288	1.9374777610528962	1.0124750342820452
11	1.1555036567328318	0.9434443725870547	1.1156630894307058	1.6606559256303277	1.117386262344497	1.1003509953813004	0.9600031533284691	1.036316704541123	1.1063902082552608	1.3504600251664227	2.013825944384149	1.0797173331212568
12	1.1351975502873677	0.9721611200561044	1.0995787672282968	1.717487447668642	1.115467447748264	1.0604691332508556	1.2989005143473666	1.020965134122258	1.1410336079048577	1.3078176218734305	1.9087541915292403	1.0419406872420542
13	1.149635689543641	0.8455220138196065	1.1032028483734921	1.9768291646810927	1.1340449879432164	1.115310728043458	1.1403356963311955	1.0189002513831105	1.1988795551139464	1.3505802083301495	1.8104632581774447	1.0650094350659798
14	1.1719383416129487	1.0858764232382647	1.1374854390716862	2.0174047878846313	1.200604658248567	1.1274537993770073	1.051783508339344	1.0109164167282256	1.2233574691452103	1.354334955721784	2.0431829168409137	1.083488935427656
15	1.150345833830972	0.8447759705766353	1.0887089324253627	1.7544456523331131	1.0994160825496821	1.0886182502576156	1.2408329096880664	1.0052204452138764	1.093885370973766	1.2727626247335697	1.8206470354234634	1.0714061773036732
16	1.166656490317783	0.8953655408248021	1.1385399535420409	1.6966097521821202	1.1452879973725827	1.1139530452224944	1.1779868883777818	1.0358080724982357	1.1421808001445406	1.3774463443035811	1.9139093961284621	1.0595854539802152
17	1.1521770112614174	0.9018351944645338	1.11441401281214	1.8665283600139833	1.1818091328035156	1.1301416148432244	1.1607574353864307	1.0459956083656732	1.13541142611128	1.3596342565354858	1.864146006449899	1.0621155016424282
18	1.136784118121209	0.9708418867528008	1.0876829355844477	1.8307604250257148	1.170806838403129	1.0651631612745798	1.166356961398148	1.0246532055030573	1.1421436025352636	1.3254450899124928	1.973762449532395	1.0346944138702163
19	1.160733841361996	0.8702207918932108	1.1096221167150753	1.6338548969984898	1.158471572853252	1.1059987355970962	1.031609034159386	1.0744469004960622	1.123179139153015	1.320941106569247	1.9293975788703142	1.0472055669274756
20	1.1039849954841088	0.8744056792539397	1.0918131841578416	1.6221341723343736	1.1420894665781463	1.106600705274525	1.1470165776159773	1.0244975268423175	1.0727569516741093	1.3382030174211603	1.9558211760612363	1.035586827372493
21	1.115238577904733	0.8588652422045886	1.098974525516923	1.814679673148652	1.0949655541934271	1.0956436629327697	1.17712867479605	0.985161157226184	1.117329155094858	1.3334158910325336	1.8785000605500324	1.0277578766435649
22	1.1604448629379391	0.8432992480172297	1.1111523193901096	1.6834681927358925	1.1517524192909696	1.1180440100232805	0.941350348105727	1.0131906595454685	1.1833108006544282	1.2774819042854917	1.9729263278949845	1.0709692718244312
